dex_number	internal_id	species_name	form_name	form_type	lineage_id	evo_stage	form_key	sprite_key	evolves_from	evolves_into	evo_method_id	evo_method_text	evo_param	evo_param_item	evo_item_obtainable	type_1	type_2	hp	atk	def	spa	spd	spe	bst	ability_1	ability_2	ability_hidden	levelup_moves	tm_moves	tutor_moves	egg_moves	egg_groups	held_items	availability	earliest_gate	earliest_gate_name	earliest_level	earliest_gate_basis	is_starter	starter_reobtainable	wild_obtainable	one_time_only	missable	source_record	confidence	notes
413	710	Wormadam	Trash	other	708	2	Wormadam-Trash	710	Burmy	NONE	NONE	NONE	NONE	NONE	NA	Bug	Steel	60	59	95	79	95	36	424	NONE	Overcoat	NONE	Sucker Punch:0,Quiver Dance:1,Metal Burst:1,Pounce:1,Sucker Punch:1,Tackle:1,Bug Bite:1,Detect:10,Bug Bite:15,Mirror Shot:16,Hidden Power:20,Silver Wind:23,Metal Sound:29,Flash Cannon:32,Captivate:35,Signal Beam:38,Attract:41,Psychic:44,Iron Head:47,Bug Buzz:50	5:Toxic,9:Hidden Power,14:Electroweb,16:Protect,18:Giga Drain,22:Iron Head,26:Return,27:Dig,28:Psychic,29:Shadow Ball,41:Facade,43:Rest,45:Thief,62:Venoshock,65:Steel Beam,73:Gyro Ball,81:Sleep Talk,89:Gunk Shot,90:Flash Cannon,99:Dual Wingbeat,124:Flash	7:Uproar,13:Bug Bite,20:Iron Defense,47:Stealth Rock,74:Substitute,99:Sunny Day,105:Bug Buzz,123:Rain Dance	NONE	Bug,Bug	SilverPowder	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[710]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
422	711	Shellos	NONE	base	711	1	Shellos	711	NONE	Gastrodon	4	at Level 32	32	NA	NA	Water	NONE	76	48	48	57	62	34	325	Sand Force	Sticky Hold	Storm Drain	Mud-Slap:1,Mud Sport:2,Harden:4,Water Pulse:7,Mud Bomb:11,Hidden Power:16,Rain Dance:22,Body Slam:29,Muddy Water:37,Recover:46	5:Toxic,9:Hidden Power,12:Ice Beam,13:Blizzard,16:Protect,17:Hydro Pump,20:Icy Wind,26:Return,41:Facade,43:Rest,75:Earth Power,81:Sleep Talk,82:Scald,122:Surf	27:Pain Split,50:Snowscape,74:Substitute,91:Body Slam,123:Rain Dance	Counter,Mirror Coat,Stockpile,Swallow,Spit Up,Yawn,Memento,Curse,Amnesia,Trump Card,Sludge,Clear Smog,Brine,Mist,Acid Armor	Water1,Amorphous	NONE	Route 2:raid1:0:NA:NA|Route 10:wild-goodRod:3:27-29:1	0	Brock	NA	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[711]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
423	712	Gastrodon	NONE	base	711	2	Gastrodon	712	Shellos	NONE	NONE	NONE	NONE	NONE	NA	Water	Ground	111	83	68	92	82	39	475	Sand Force	Sticky Hold	Storm Drain	Mud-Slap:1,Mud Sport:1,Harden:1,Water Pulse:1,Mud Sport:2,Harden:4,Water Pulse:7,Mud Bomb:11,Hidden Power:16,Rain Dance:22,Body Slam:29,Muddy Water:41,Recover:54	5:Toxic,9:Hidden Power,12:Ice Beam,13:Blizzard,16:Protect,17:Hydro Pump,20:Icy Wind,21:Weather Ball,25:Earthquake,26:Return,27:Dig,35:Sludge Bomb,38:Rock Tomb,41:Facade,43:Rest,68:Stomping Tantrum,70:Stone Edge,75:Earth Power,79:Rock Slide,81:Sleep Talk,82:Scald,95:Bulldoze,102:Sludge Wave,122:Surf,123:Strength,124:Flash,125:Rock Smash,126:Waterfall	27:Pain Split,47:Stealth Rock,50:Snowscape,72:Spikes,74:Substitute,91:Body Slam,109:Sandstorm,123:Rain Dance	Counter,Mirror Coat,Stockpile,Swallow,Spit Up,Yawn,Memento,Curse,Amnesia,Trump Card,Sludge,Clear Smog,Brine,Mist,Acid Armor	Water1,Amorphous	NONE	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[712]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
479	713	Rotom	Heat	other	713	1	Rotom-Heat	713	NONE	NONE	NONE	NONE	NONE	NONE	NA	Electric	Fire	50	65	107	105	107	86	520	NONE	Levitate	NONE	Astonish:1,Thunder Wave:1,Thunder Shock:1,Confuse Ray:1,Uproar:8,Confuse Ray:12,Shock Wave:22,Ominous Wind:29,Substitute:36,Electro Ball:43,Overheat:44,Lava Plume:47,Hex:50,Charge:57,Discharge:64	5:Toxic,9:Hidden Power,14:Electroweb,15:Light Screen,16:Protect,19:Hyper Voice,23:Thunderbolt,24:Thunder,26:Return,29:Shadow Ball,32:Reflect,34:Flamethrower,41:Facade,42:Defog,43:Rest,45:Thief,49:Overheat,57:Rising Voltage,60:Will-O-Wisp,66:Poltergeist,72:Thunder Wave,78:Dark Pulse,81:Sleep Talk,91:Volt Switch,124:Flash	7:Uproar,11:Charge Beam,27:Pain Split,41:Foul Play,74:Substitute,76:Nasty Plot,97:Stored Power,99:Sunny Day,100:Hex,123:Rain Dance	NONE	Amorphous,Amorphous	NONE	NONE	UNK	UNK	UNK	UNK	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[713]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
479	714	Rotom	Wash	other	714	1	Rotom-Wash	714	NONE	NONE	NONE	NONE	NONE	NONE	NA	Electric	Water	50	65	107	105	107	86	520	NONE	Levitate	NONE	Astonish:1,Thunder Wave:1,Thunder Shock:1,Confuse Ray:1,Uproar:8,Confuse Ray:12,Shock Wave:22,Ominous Wind:29,Substitute:36,Electro Ball:43,Hydro Pump:44,Scald:47,Hex:50,Charge:57,Discharge:64	5:Toxic,9:Hidden Power,14:Electroweb,15:Light Screen,16:Protect,17:Hydro Pump,19:Hyper Voice,23:Thunderbolt,24:Thunder,26:Return,29:Shadow Ball,32:Reflect,41:Facade,42:Defog,43:Rest,45:Thief,57:Rising Voltage,60:Will-O-Wisp,66:Poltergeist,72:Thunder Wave,78:Dark Pulse,81:Sleep Talk,82:Scald,91:Volt Switch,122:Surf,124:Flash	7:Uproar,11:Charge Beam,27:Pain Split,41:Foul Play,74:Substitute,76:Nasty Plot,97:Stored Power,99:Sunny Day,100:Hex,123:Rain Dance	NONE	Amorphous,Amorphous	NONE	NONE	UNK	UNK	UNK	UNK	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[714]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
479	715	Rotom	Frost	other	715	1	Rotom-Frost	715	NONE	NONE	NONE	NONE	NONE	NONE	NA	Electric	Ice	50	65	107	105	107	86	520	NONE	Levitate	NONE	Astonish:1,Thunder Wave:1,Thunder Shock:1,Confuse Ray:1,Uproar:8,Confuse Ray:12,Shock Wave:22,Ominous Wind:29,Substitute:36,Electro Ball:43,Blizzard:47,Frost Breath:47,Hex:50,Freeze-Dry:54,Charge:57,Discharge:64	5:Toxic,9:Hidden Power,12:Ice Beam,13:Blizzard,14:Electroweb,15:Light Screen,16:Protect,19:Hyper Voice,23:Thunderbolt,24:Thunder,26:Return,29:Shadow Ball,32:Reflect,41:Facade,42:Defog,43:Rest,45:Thief,57:Rising Voltage,60:Will-O-Wisp,66:Poltergeist,72:Thunder Wave,78:Dark Pulse,81:Sleep Talk,91:Volt Switch,96:Frost Breath,124:Flash	7:Uproar,11:Charge Beam,27:Pain Split,41:Foul Play,74:Substitute,76:Nasty Plot,97:Stored Power,99:Sunny Day,100:Hex,123:Rain Dance	NONE	Amorphous,Amorphous	NONE	NONE	UNK	UNK	UNK	UNK	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[715]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
479	716	Rotom	Fan	other	716	1	Rotom-Fan	716	NONE	NONE	NONE	NONE	NONE	NONE	NA	Electric	Flying	50	65	107	105	107	86	520	NONE	Motor Drive	NONE	Astonish:1,Thunder Wave:1,Thunder Shock:1,Confuse Ray:1,Uproar:8,Confuse Ray:12,Charge:17,Shock Wave:22,Ominous Wind:29,Substitute:36,Electro Ball:43,Hurricane:44,Air Slash:47,Hex:50,Charge:57,Discharge:64	5:Toxic,9:Hidden Power,14:Electroweb,15:Light Screen,16:Protect,19:Hyper Voice,23:Thunderbolt,24:Thunder,26:Return,29:Shadow Ball,32:Reflect,41:Facade,42:Defog,43:Rest,45:Thief,47:Hurricane,57:Rising Voltage,60:Will-O-Wisp,66:Poltergeist,72:Thunder Wave,78:Dark Pulse,81:Sleep Talk,91:Volt Switch,124:Flash	7:Uproar,11:Charge Beam,27:Pain Split,41:Foul Play,74:Substitute,76:Nasty Plot,97:Stored Power,99:Sunny Day,100:Hex,123:Rain Dance	NONE	Amorphous,Amorphous	NONE	NONE	UNK	UNK	UNK	UNK	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[716]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
479	717	Rotom	Mow	other	717	1	Rotom-Mow	717	NONE	NONE	NONE	NONE	NONE	NONE	NA	Electric	Grass	50	65	107	105	107	86	520	NONE	Levitate	NONE	Astonish:1,Thunder Wave:1,Thunder Shock:1,Confuse Ray:1,Uproar:8,Confuse Ray:12,Charge:17,Shock Wave:22,Ominous Wind:29,Substitute:36,Electro Ball:43,Giga Drain:47,Hex:50,Charge:57,Chloroblast:60,Discharge:64	5:Toxic,9:Hidden Power,14:Electroweb,15:Light Screen,16:Protect,18:Giga Drain,19:Hyper Voice,23:Thunderbolt,24:Thunder,26:Return,29:Shadow Ball,32:Reflect,41:Facade,42:Defog,43:Rest,45:Thief,57:Rising Voltage,60:Will-O-Wisp,66:Poltergeist,72:Thunder Wave,78:Dark Pulse,81:Sleep Talk,91:Volt Switch,124:Flash	7:Uproar,11:Charge Beam,27:Pain Split,41:Foul Play,74:Substitute,76:Nasty Plot,97:Stored Power,99:Sunny Day,100:Hex,123:Rain Dance	NONE	Amorphous,Amorphous	NONE	NONE	UNK	UNK	UNK	UNK	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[717]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
487	718	Giratina	Origin	other	718	1	Giratina-Origin	718	NONE	NONE	NONE	NONE	NONE	NONE	NA	Ghost	Dragon	150	120	100	120	100	90	680	NONE	Levitate	NONE	Astonish:1,Scary Face:6,Spite:10,Slash:15,Defog:19,Destiny Bond:28,Shadow Sneak:33,Earth Power:36,Aura Sphere:44,Dragon Claw:50,Shadow Force:56,Ancient Power:70	1:Dragon Claw,4:Roar,5:Toxic,9:Hidden Power,16:Protect,19:Hyper Voice,20:Icy Wind,22:Iron Head,23:Thunderbolt,24:Thunder,25:Earthquake,26:Return,28:Psychic,29:Shadow Ball,31:Aura Sphere,41:Facade,42:Defog,43:Rest,46:Steel Wing,52:Energy Ball,58:Dragon Pulse,60:Will-O-Wisp,61:Iron Tail,64:Shadow Claw,66:Poltergeist,70:Stone Edge,71:Draco Barrage,72:Thunder Wave,75:Earth Power,78:Dark Pulse,81:Sleep Talk,86:Aerial Ace,92:Dragon Tail,95:Bulldoze,99:Dual Wingbeat,118:Draco Meteor,120:Cut,121:Fly,123:Strength,125:Rock Smash	11:Charge Beam,27:Pain Split,28:Tailwind,32:Calm Mind,74:Substitute,91:Body Slam,99:Sunny Day,100:Hex,102:Hone Claws,113:Phantom Force,123:Rain Dance	NONE	Undiscovered,Undiscovered	NONE	NONE	UNK	UNK	UNK	UNK	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[718]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
492	719	Shaymin	Sky	other	719	1	Shaymin-Sky	719	NONE	NONE	NONE	NONE	NONE	NONE	NA	Grass	Flying	100	103	75	120	75	127	600	NONE	Serene Grace	NONE	Growth:1,Magical Leaf:10,Leech Seed:19,Quick Attack:28,Sweet Scent:37,Natural Gift:46,Worry Seed:55,Air Slash:64,Energy Ball:73,Sweet Kiss:82,Hurricane:86,Leaf Storm:91,Seed Flare:100	3:Seed Bomb,7:Zen Headbutt,8:Bullet Seed,9:Hidden Power,16:Protect,18:Giga Drain,26:Return,28:Psychic,41:Facade,43:Rest,47:Hurricane,52:Energy Ball,55:Air Slash,75:Earth Power,81:Sleep Talk,85:Grass Knot,86:Aerial Ace,101:Dazzling Gleam,112:Play Rough,124:Flash	21:Celebrate,28:Tailwind,53:Swords Dance,74:Substitute,99:Sunny Day,101:Solar Beam,114:Trailblaze	NONE	Undiscovered,Undiscovered	NONE	NONE	UNK	UNK	UNK	UNK	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[719]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
493	720	Arceus	Fighting	other	720	1	Arceus-Fighting	720	NONE	NONE	NONE	NONE	NONE	NONE	NA	Fighting	NONE	120	120	120	120	120	120	720	NONE	Multitype	NONE	Seismic Toss:1,Cosmic Power:1,Natural Gift:1,Punishment:1,Gravity:10,Earth Power:20,Hyper Voice:30,Extreme Speed:40,Refresh:50,Future Sight:60,Recover:70,Hyper Beam:80,Perish Song:90,Judgment:100	1:Dragon Claw,2:Flip Turn,4:Roar,5:Toxic,6:Heat Wave,7:Zen Headbutt,8:Bullet Seed,9:Hidden Power,10:Soupercell Slam,12:Ice Beam,13:Blizzard,15:Light Screen,16:Protect,18:Giga Drain,19:Hyper Voice,20:Icy Wind,22:Iron Head,23:Thunderbolt,24:Thunder,25:Earthquake,26:Return,28:Psychic,29:Shadow Ball,30:Brick Break,31:Aura Sphere,32:Reflect,34:Flamethrower,35:Sludge Bomb,37:Fire Blast,38:Rock Tomb,40:Liquidation,41:Facade,42:Defog,43:Rest,44:Drain Kiss,49:Overheat,51:Focus Blast,52:Energy Ball,53:Grassy Glide,54:Expanding Force,58:Dragon Pulse,60:Will-O-Wisp,61:Iron Tail,64:Shadow Claw,65:Steel Beam,69:Triple Axel,70:Stone Edge,71:Draco Barrage,72:Thunder Wave,75:Earth Power,78:Dark Pulse,79:Rock Slide,80:X-Scissor,81:Sleep Talk,83:Poison Jab,84:Future Sight,85:Grass Knot,86:Aerial Ace,90:Flash Cannon,94:Cosmic Power,95:Bulldoze,96:Frost Breath,99:Dual Wingbeat,103:Psyshock,107:Snarl,111:Misty Explosion,114:Body Press,115:Trick Room,116:Brave Bird,118:Draco Meteor,120:Cut,121:Fly,122:Surf,123:Strength,124:Flash,125:Rock Smash,126:Waterfall	0:Work Up,8:Dark Hole,11:Charge Beam,20:Iron Defense,28:Tailwind,32:Calm Mind,47:Stealth Rock,50:Snowscape,53:Swords Dance,74:Substitute,99:Sunny Day,101:Solar Beam,102:Hone Claws,109:Sandstorm,114:Trailblaze,122:Meteor Beam,123:Rain Dance	NONE	Undiscovered,Undiscovered	NONE	NONE	UNK	UNK	UNK	UNK	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[720]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
493	721	Arceus	Flying	other	721	1	Arceus-Flying	721	NONE	NONE	NONE	NONE	NONE	NONE	NA	Flying	NONE	120	120	120	120	120	120	720	NONE	Multitype	NONE	Seismic Toss:1,Cosmic Power:1,Natural Gift:1,Punishment:1,Gravity:10,Earth Power:20,Hyper Voice:30,Extreme Speed:40,Refresh:50,Future Sight:60,Recover:70,Hyper Beam:80,Perish Song:90,Judgment:100	1:Dragon Claw,2:Flip Turn,4:Roar,5:Toxic,6:Heat Wave,7:Zen Headbutt,8:Bullet Seed,9:Hidden Power,10:Soupercell Slam,12:Ice Beam,13:Blizzard,15:Light Screen,16:Protect,18:Giga Drain,19:Hyper Voice,20:Icy Wind,22:Iron Head,23:Thunderbolt,24:Thunder,25:Earthquake,26:Return,28:Psychic,29:Shadow Ball,30:Brick Break,31:Aura Sphere,32:Reflect,34:Flamethrower,35:Sludge Bomb,37:Fire Blast,38:Rock Tomb,40:Liquidation,41:Facade,42:Defog,43:Rest,44:Drain Kiss,49:Overheat,51:Focus Blast,52:Energy Ball,53:Grassy Glide,54:Expanding Force,58:Dragon Pulse,60:Will-O-Wisp,61:Iron Tail,64:Shadow Claw,65:Steel Beam,69:Triple Axel,70:Stone Edge,71:Draco Barrage,72:Thunder Wave,75:Earth Power,78:Dark Pulse,79:Rock Slide,80:X-Scissor,81:Sleep Talk,83:Poison Jab,84:Future Sight,85:Grass Knot,86:Aerial Ace,90:Flash Cannon,94:Cosmic Power,95:Bulldoze,96:Frost Breath,99:Dual Wingbeat,103:Psyshock,107:Snarl,111:Misty Explosion,114:Body Press,115:Trick Room,116:Brave Bird,118:Draco Meteor,120:Cut,121:Fly,122:Surf,123:Strength,124:Flash,125:Rock Smash,126:Waterfall	0:Work Up,8:Dark Hole,11:Charge Beam,20:Iron Defense,28:Tailwind,32:Calm Mind,47:Stealth Rock,50:Snowscape,53:Swords Dance,74:Substitute,99:Sunny Day,101:Solar Beam,102:Hone Claws,109:Sandstorm,114:Trailblaze,122:Meteor Beam,123:Rain Dance	NONE	Undiscovered,Undiscovered	NONE	NONE	UNK	UNK	UNK	UNK	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[721]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
493	722	Arceus	Poison	other	722	1	Arceus-Poison	722	NONE	NONE	NONE	NONE	NONE	NONE	NA	Poison	NONE	120	120	120	120	120	120	720	NONE	Multitype	NONE	Seismic Toss:1,Cosmic Power:1,Natural Gift:1,Punishment:1,Gravity:10,Earth Power:20,Hyper Voice:30,Extreme Speed:40,Refresh:50,Future Sight:60,Recover:70,Hyper Beam:80,Perish Song:90,Judgment:100	1:Dragon Claw,2:Flip Turn,4:Roar,5:Toxic,6:Heat Wave,7:Zen Headbutt,8:Bullet Seed,9:Hidden Power,10:Soupercell Slam,12:Ice Beam,13:Blizzard,15:Light Screen,16:Protect,18:Giga Drain,19:Hyper Voice,20:Icy Wind,22:Iron Head,23:Thunderbolt,24:Thunder,25:Earthquake,26:Return,28:Psychic,29:Shadow Ball,30:Brick Break,31:Aura Sphere,32:Reflect,34:Flamethrower,35:Sludge Bomb,37:Fire Blast,38:Rock Tomb,40:Liquidation,41:Facade,42:Defog,43:Rest,44:Drain Kiss,49:Overheat,51:Focus Blast,52:Energy Ball,53:Grassy Glide,54:Expanding Force,58:Dragon Pulse,60:Will-O-Wisp,61:Iron Tail,64:Shadow Claw,65:Steel Beam,69:Triple Axel,70:Stone Edge,71:Draco Barrage,72:Thunder Wave,75:Earth Power,78:Dark Pulse,79:Rock Slide,80:X-Scissor,81:Sleep Talk,83:Poison Jab,84:Future Sight,85:Grass Knot,86:Aerial Ace,90:Flash Cannon,94:Cosmic Power,95:Bulldoze,96:Frost Breath,99:Dual Wingbeat,103:Psyshock,107:Snarl,111:Misty Explosion,114:Body Press,115:Trick Room,116:Brave Bird,118:Draco Meteor,120:Cut,121:Fly,122:Surf,123:Strength,124:Flash,125:Rock Smash,126:Waterfall	0:Work Up,8:Dark Hole,11:Charge Beam,20:Iron Defense,28:Tailwind,32:Calm Mind,47:Stealth Rock,50:Snowscape,53:Swords Dance,74:Substitute,99:Sunny Day,101:Solar Beam,102:Hone Claws,109:Sandstorm,114:Trailblaze,122:Meteor Beam,123:Rain Dance	NONE	Undiscovered,Undiscovered	NONE	NONE	UNK	UNK	UNK	UNK	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[722]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
493	723	Arceus	Ground	other	723	1	Arceus-Ground	723	NONE	NONE	NONE	NONE	NONE	NONE	NA	Ground	NONE	120	120	120	120	120	120	720	NONE	Multitype	NONE	Seismic Toss:1,Cosmic Power:1,Natural Gift:1,Punishment:1,Gravity:10,Earth Power:20,Hyper Voice:30,Extreme Speed:40,Refresh:50,Future Sight:60,Recover:70,Hyper Beam:80,Perish Song:90,Judgment:100	1:Dragon Claw,2:Flip Turn,4:Roar,5:Toxic,6:Heat Wave,7:Zen Headbutt,8:Bullet Seed,9:Hidden Power,10:Soupercell Slam,12:Ice Beam,13:Blizzard,15:Light Screen,16:Protect,18:Giga Drain,19:Hyper Voice,20:Icy Wind,22:Iron Head,23:Thunderbolt,24:Thunder,25:Earthquake,26:Return,28:Psychic,29:Shadow Ball,30:Brick Break,31:Aura Sphere,32:Reflect,34:Flamethrower,35:Sludge Bomb,37:Fire Blast,38:Rock Tomb,40:Liquidation,41:Facade,42:Defog,43:Rest,44:Drain Kiss,49:Overheat,51:Focus Blast,52:Energy Ball,53:Grassy Glide,54:Expanding Force,58:Dragon Pulse,60:Will-O-Wisp,61:Iron Tail,64:Shadow Claw,65:Steel Beam,69:Triple Axel,70:Stone Edge,71:Draco Barrage,72:Thunder Wave,75:Earth Power,78:Dark Pulse,79:Rock Slide,80:X-Scissor,81:Sleep Talk,83:Poison Jab,84:Future Sight,85:Grass Knot,86:Aerial Ace,90:Flash Cannon,94:Cosmic Power,95:Bulldoze,96:Frost Breath,99:Dual Wingbeat,103:Psyshock,107:Snarl,111:Misty Explosion,114:Body Press,115:Trick Room,116:Brave Bird,118:Draco Meteor,120:Cut,121:Fly,122:Surf,123:Strength,124:Flash,125:Rock Smash,126:Waterfall	0:Work Up,8:Dark Hole,11:Charge Beam,20:Iron Defense,28:Tailwind,32:Calm Mind,47:Stealth Rock,50:Snowscape,53:Swords Dance,74:Substitute,99:Sunny Day,101:Solar Beam,102:Hone Claws,109:Sandstorm,114:Trailblaze,122:Meteor Beam,123:Rain Dance	NONE	Undiscovered,Undiscovered	NONE	NONE	UNK	UNK	UNK	UNK	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[723]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
493	724	Arceus	Rock	other	724	1	Arceus-Rock	724	NONE	NONE	NONE	NONE	NONE	NONE	NA	Rock	NONE	120	120	120	120	120	120	720	NONE	Multitype	NONE	Seismic Toss:1,Cosmic Power:1,Natural Gift:1,Punishment:1,Gravity:10,Earth Power:20,Hyper Voice:30,Extreme Speed:40,Refresh:50,Future Sight:60,Recover:70,Hyper Beam:80,Perish Song:90,Judgment:100	1:Dragon Claw,2:Flip Turn,4:Roar,5:Toxic,6:Heat Wave,7:Zen Headbutt,8:Bullet Seed,9:Hidden Power,10:Soupercell Slam,12:Ice Beam,13:Blizzard,15:Light Screen,16:Protect,18:Giga Drain,19:Hyper Voice,20:Icy Wind,22:Iron Head,23:Thunderbolt,24:Thunder,25:Earthquake,26:Return,28:Psychic,29:Shadow Ball,30:Brick Break,31:Aura Sphere,32:Reflect,34:Flamethrower,35:Sludge Bomb,37:Fire Blast,38:Rock Tomb,40:Liquidation,41:Facade,42:Defog,43:Rest,44:Drain Kiss,49:Overheat,51:Focus Blast,52:Energy Ball,53:Grassy Glide,54:Expanding Force,58:Dragon Pulse,60:Will-O-Wisp,61:Iron Tail,64:Shadow Claw,65:Steel Beam,69:Triple Axel,70:Stone Edge,71:Draco Barrage,72:Thunder Wave,75:Earth Power,78:Dark Pulse,79:Rock Slide,80:X-Scissor,81:Sleep Talk,83:Poison Jab,84:Future Sight,85:Grass Knot,86:Aerial Ace,90:Flash Cannon,94:Cosmic Power,95:Bulldoze,96:Frost Breath,99:Dual Wingbeat,103:Psyshock,107:Snarl,111:Misty Explosion,114:Body Press,115:Trick Room,116:Brave Bird,118:Draco Meteor,120:Cut,121:Fly,122:Surf,123:Strength,124:Flash,125:Rock Smash,126:Waterfall	0:Work Up,8:Dark Hole,11:Charge Beam,20:Iron Defense,28:Tailwind,32:Calm Mind,47:Stealth Rock,50:Snowscape,53:Swords Dance,74:Substitute,99:Sunny Day,101:Solar Beam,102:Hone Claws,109:Sandstorm,114:Trailblaze,122:Meteor Beam,123:Rain Dance	NONE	Undiscovered,Undiscovered	NONE	NONE	UNK	UNK	UNK	UNK	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[724]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
493	725	Arceus	Bug	other	725	1	Arceus-Bug	725	NONE	NONE	NONE	NONE	NONE	NONE	NA	Bug	NONE	120	120	120	120	120	120	720	NONE	Multitype	NONE	Seismic Toss:1,Cosmic Power:1,Natural Gift:1,Punishment:1,Gravity:10,Earth Power:20,Hyper Voice:30,Extreme Speed:40,Refresh:50,Future Sight:60,Recover:70,Hyper Beam:80,Perish Song:90,Judgment:100	1:Dragon Claw,2:Flip Turn,4:Roar,5:Toxic,6:Heat Wave,7:Zen Headbutt,8:Bullet Seed,9:Hidden Power,10:Soupercell Slam,12:Ice Beam,13:Blizzard,15:Light Screen,16:Protect,18:Giga Drain,19:Hyper Voice,20:Icy Wind,22:Iron Head,23:Thunderbolt,24:Thunder,25:Earthquake,26:Return,28:Psychic,29:Shadow Ball,30:Brick Break,31:Aura Sphere,32:Reflect,34:Flamethrower,35:Sludge Bomb,37:Fire Blast,38:Rock Tomb,40:Liquidation,41:Facade,42:Defog,43:Rest,44:Drain Kiss,49:Overheat,51:Focus Blast,52:Energy Ball,53:Grassy Glide,54:Expanding Force,58:Dragon Pulse,60:Will-O-Wisp,61:Iron Tail,64:Shadow Claw,65:Steel Beam,69:Triple Axel,70:Stone Edge,71:Draco Barrage,72:Thunder Wave,75:Earth Power,78:Dark Pulse,79:Rock Slide,80:X-Scissor,81:Sleep Talk,83:Poison Jab,84:Future Sight,85:Grass Knot,86:Aerial Ace,90:Flash Cannon,94:Cosmic Power,95:Bulldoze,96:Frost Breath,99:Dual Wingbeat,103:Psyshock,107:Snarl,111:Misty Explosion,114:Body Press,115:Trick Room,116:Brave Bird,118:Draco Meteor,120:Cut,121:Fly,122:Surf,123:Strength,124:Flash,125:Rock Smash,126:Waterfall	0:Work Up,8:Dark Hole,11:Charge Beam,20:Iron Defense,28:Tailwind,32:Calm Mind,47:Stealth Rock,50:Snowscape,53:Swords Dance,74:Substitute,99:Sunny Day,101:Solar Beam,102:Hone Claws,109:Sandstorm,114:Trailblaze,122:Meteor Beam,123:Rain Dance	NONE	Undiscovered,Undiscovered	NONE	NONE	UNK	UNK	UNK	UNK	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[725]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
